Ref,Qty,Value,Footprint,Datasheet,manf,part-num,
TP301 ,1,R304_Shunt,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,~,DNP,DNP,
TP320 ,1,TP_Pvcc,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,~,DNP,DNP,
TP330 ,1,TP_U300_run,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,~,DNP,DNP,
TP331 ,1,TP_Opto5V,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,~,DNP,DNP,
TP340 ,1,TP_3.3V,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,~,DNP,DNP,
TP341 ,1,TP_5V,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,~,DNP,DNP,
U101 ,1,PocketBeagle,EigeneFootprints:PocketBeagle,https://github.com/beagleboard/pocketbeagle/wiki/System-Reference-Manual,GHI Electronics  LLC,POCKETBEAGLE-SC-569,
U101 ,2,,,,samtec,SLW-118-01-G-D,
U101 ,2,,,,samtec,TSW-118-05-G-D,
U201 ,1,LAN9500Ai,EigeneFootprints:QFN50P800X800X120-56N,http://ww1.microchip.com/downloads/en/DeviceDoc/00001875C.pdf,Microchip Technology,LAN9500A-ABZJ-TR,
U230 ,1,93AA56A,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,https://www.digikey.ch/product-detail/de/microchip-technology/93AA56AT-I-SN/93AA56AT-I-SNCT-ND/8637200,Microchip Technology,93AA56AT-I/SN,
U300 ,1,LTC4267,Housings_SSOP:SSOP-16_3.9x4.9mm_Pitch0.635mm,https://www.digikey.ch/product-detail/de/linear-technology-analog-devices/LTC4267CGN-TRPBF/LTC4267CGN-TRPBFCT-ND/8019541,Linear Technology/Analog Devices,LTC4267CGN#TRPBF,
U330 ,1,PS2911,EigeneFootprints:DIP-4_SMD_Opto,https://www.digikey.ch/products/de?keywords=PS2911-1-M-AX,CEL,PS2911-1-M-AX,
U340 ,1,LP38693MP-3.3,TO_SOT_Packages_SMD:SOT-223-5,,Texas Instruments,LP38693MP-3.3/NOPB,
U401 U402 U403 ,3,G3VM-61VR(TR05),EigeneFootprints:SOP-4_3.9x4.4mm_Pitch2.54mm,https://www.digikey.ch/product-detail/de/omron-electronics-inc-emc-div/G3VM-61VR-TR05/Z10319CT-ND/8602730,Omron Electronics Inc-EMC Div,G3VM-61VR(TR05),
U501 U601 U701 ,3,RFM-0505S,EigeneFootprints:RFM-xxxxS,https://www.digikey.ch/product-detail/de/recom-power/RFM-0505S/945-3159-ND/8550767,Recom Power,RFM-0505S,
U502 U602 U702 ,3,MAX33250E_51E,EigeneFootprints:LGA-12,https://media.digikey.com/pdf/Data%20Sheets/Maxim%20PDFs/MAX33250E_51E_Rev1_Nov2018.pdf,Maxim Integrated,MAX33250EELC+,
U801 ,1,74HC7014D-118,Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm,https://assets.nexperia.com/documents/data-sheet/74HC7014.pdf,Nexperia USA inc.,74HC7014D-118,
X1 ,1,Phoenix_1436550,EigeneFootprints:Phoenix_SACC-DSIV-M12FSD-4CON-L90,https://www.digikey.ch/product-detail/de/phoenix-contact/1436550/277-16526-ND/3607351,Phoenix Conact,1436550,
X2 ,1,Phoenix_1847479,Connectors_Phoenix:PhoenixContact_MC-GF_03x5.08mm_Angled_ThreadedFlange,https://www.digikey.ch/product-detail/de/phoenix-contact/1847479/277-7461-ND/3596799,PhoenixContact,1847479,
X11 X12 X13 ,3,Phoenix_1843266,Connectors_Phoenix:PhoenixContact_MCV-GF_06x3.50mm_Vertical_ThreadedFlange_MountHole,~,Phoenix Contact,1843266,
X21 ,1,Phoenix_1843266,Connectors_Phoenix:PhoenixContact_MCV-GF_06x3.50mm_Vertical_ThreadedFlange_MountHole,https://www.digikey.ch/product-detail/de/phoenix-contact/1843813/277-6088-ND/2527947,Phoenix Contact,1843266,
X22 ,1,Phoenix_1843266,Connectors_Phoenix:PhoenixContact_MCV-GF_06x3.50mm_Vertical_ThreadedFlange_MountHole,,Phoenix Contact,1843266,
X23 ,1,Phoenix_1843266,Connectors_Phoenix:PhoenixContact_MCV-GF_06x3.50mm_Vertical_ThreadedFlange_MountHole,https://www.digikey.ch/products/de?keywords=1843855,Phoenix Contact,1843266,
Y201 ,1,25.000MHz 18pF,Crystals:Crystal_SMD_HC49-SD,https://www.digikey.ch/product-detail/de/abracon-llc/ABLS2-25.000MHZ-D4YF-T/535-9883-1-ND/2001506,Abracon LLC,ABLS2-25.000MHZ-D4YF-T,
